slug,title,description,type,level,body_part,equipment_required,lugar_entrenamiento,met,ranking_score,rating,rating_desc
calf-press,Calf Press,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.",Fuerza,Principiante,Pantorrillas,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,8.5,Average
smith-machine-reverse-calf-raises,Smith Machine Reverse Calf Raises,,Fuerza,Principiante,Pantorrillas,['Máquina'],['Gimnasio'],5.0,0.467,7.3,Average
seated-single-leg-calf-press-gethin-variation,Seated Single-Leg Calf Press - Gethin Variation,"The single-leg machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, but occasionally for higher reps of 20 per set or more.",Fuerza,Intermedio,Pantorrillas,['Máquina'],['Gimnasio'],5.0,0.467,,
seated-calf-raise-gethin-variation,Seated Calf Raise - Gethin Variation,"The machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, and occasionally for very high burnout-focused sets of 50-100 total reps.",Fuerza,Intermedio,Pantorrillas,['Máquina'],['Gimnasio'],5.0,0.467,,
donkey-calf-raise-gethin-variation,Donkey Calf Raise - Gethin Variation,"The donkey calk raise is a strength and muscle-building exercise focused on the muscles of the lower leg, most prominently the gastrocnemius muscle. While traditional donkey calf raises involved either a specific machine or carrying another person on one's back, this method uses a weight belt. It can be done in traditional muscle-building rep ranges, or for higher reps as part of lower-body training.",Fuerza,Intermedio,Pantorrillas,['Máquina'],['Gimnasio'],5.0,0.467,,
standing-calf-raise-facing-hack-squat-machine-gethin-variation,Standing Calf Raise Facing Hack Squat Machine - Gethin Variation,The reverse hack squat calf raise is a varation of the standing calf raise to target them in a different manner.,Fuerza,Intermedio,Pantorrillas,['Máquina'],['Gimnasio'],5.0,0.467,,
calf-press-on-a-hack-squat-machine-gethin-variation,Calf Press On A Hack Squat Machine - Gethin Variation,The hack squat calf raise is a variation of the standing calf raise to target them in a different manner than seated or fully standing.,Fuerza,Intermedio,Pantorrillas,['Máquina'],['Gimnasio'],5.0,0.467,,
smith-machine-standing-calf-raises-gethin-variation,Smith Machine Standing Calf Raises - Gethin Variation,"The Smith machine standing calf raise is a machine-based exercise targeting the muscles of the calves, particularly the gastrocnemius or upper calf muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the lower-body portion of a workout.",Fuerza,Intermedio,Pantorrillas,['Máquina'],['Gimnasio'],5.0,0.467,,
hack-squat-calf-raise,Hack squat calf raise,"The hack squat calf raise is a variation of the standing calf raise performed in a hack squat machine. This allows for heavy loading, but also shoulder comfort from the pads of the hack squat. Calf raise variations are often performed for relatively high reps, such as 10-20 reps per set or more.",Fuerza,Intermedio,Pantorrillas,['Máquina'],['Gimnasio'],5.0,0.467,,
seated-calf-press-gethin-variation,Seated Calf Press - Gethin Variation,"The machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, and occasionally for very high burnout-focused sets of 50-100 total reps.",Fuerza,Intermedio,Pantorrillas,['Máquina'],['Gimnasio'],5.0,0.467,,
leg-press-calf-raise,Leg press calf raise,"The leg press calf raise is a variation of the standing calf raise performed in a leg press machine. This allows for heavy loading, but also shoulder comfort from the pads of the leg press. Calf raise variations are often performed for relatively high reps, such as 10-20 reps per set or more.",Fuerza,Intermedio,Pantorrillas,['Máquina'],['Gimnasio'],5.0,0.467,,
machine-seated-calf-raise,Machine seated calf raise,"The machine seated calf raise is an exercise targeting the calf muscles of the lower leg, particularly the soleus muscle. It is usually performed for moderate to high reps, such as 8-12 reps per set, and occasionally for very high burnout-focused sets of 50-100 total reps.",Fuerza,Intermedio,Pantorrillas,['Máquina'],['Gimnasio'],5.0,0.467,,
30-legs-seated-calf-raise,30 Legs Seated Calf Raise,,Fuerza,Intermedio,Pantorrillas,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
30-legs-standing-calf-raise,30 Legs Standing Calf Raise,,Fuerza,Intermedio,Pantorrillas,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
peroneals-smr,Peroneals-SMR,,Estiramiento,Intermedio,Pantorrillas,['Peso corporal'],"['Casa', 'Aire libre']",2.0,0.217,6.4,Average
knee-circles,Knee Circles,,Estiramiento,Principiante,Pantorrillas,['Peso corporal'],"['Casa', 'Aire libre']",2.0,0.217,6.3,Average
standing-gastrocnemius-calf-stretch,Standing Gastrocnemius Calf Stretch,,Estiramiento,Intermedio,Pantorrillas,['Peso corporal'],"['Casa', 'Aire libre']",2.0,0.217,5.6,Average
wall-calf-stretch,Wall calf stretch,The wall calf stretch is a stretch targeting the calf muscles. This is a simple way to stretch these often-tight muscles without any equipment needed.,Estiramiento,Intermedio,Pantorrillas,['Peso corporal'],"['Casa', 'Aire libre']",2.0,0.217,5.3,Average
seated-calf-stretch,Seated Calf Stretch,,Estiramiento,Intermedio,Pantorrillas,['Peso corporal'],"['Casa', 'Aire libre']",2.0,0.217,4.1,Average
standing-calf-raise,Standing Calf Raise,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, and in particular the gastrocnemius muscles. When unweighted, it is usually performed for high reps or for time.",Fuerza,Intermedio,Pantorrillas,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
standing-calf-raise,Standing calf raise-,"The standing calf raise is a popular movement to target the calf muscles of the lower leg, particularly the gastrocnemius muscle. When unweighted, it is usually performed for high reps or for time.",Fuerza,Intermedio,Pantorrillas,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
hm-left-calf-spike-sumo-pulse,HM Left Calf-Spike Sumo Pulse,,Fuerza,Intermedio,Pantorrillas,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
ankle-circles,Ankle Circles,,Estiramiento,Principiante,Pantorrillas,['Peso corporal'],"['Casa', 'Aire libre']",2.0,0.217,7.2,Average
calf-stretch-elbows-against-wall,Calf Stretch Elbows Against Wall,,Estiramiento,Principiante,Pantorrillas,['Peso corporal'],"['Casa', 'Aire libre']",2.0,0.217,4.9,Average
standing-soleus-and-achilles-stretch,Standing Soleus And Achilles Stretch,,Estiramiento,Principiante,Pantorrillas,['Peso corporal'],"['Casa', 'Aire libre']",2.0,0.217,4.2,Average
cross-over-with-bands,Cross Over - With Bands,,Fuerza,Principiante,Pecho,['Bandas'],['Casa'],5.0,0.467,8.3,Average
bench-press-with-bands,Bench Press - With Bands,,Fuerza,Principiante,Pecho,"['Banco', 'Barra', 'Bandas']",['Casa'],5.0,0.567,5.5,Average
bench-press-with-short-bands,Bench Press With Short Bands,,Powerlifting,Principiante,Pecho,"['Banco', 'Barra', 'Bandas']",['Casa'],4.0,0.483,0.0,
feet-elevated-trx-push-up,Feet-Elevated TRX Push-Up,,Fuerza,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,0.0,
band-suspended-kettlebell-bench-press,Band-suspended kettlebell bench press,"The band-suspended kettlebell bench press is a bench press variation where kettlebells or weight plates are hung from the ends of a barbell by looped bands. The suspended weights can be in addition to normally loaded weight plates, or in the place of them. Because the instability of the weights makes the lift difficult, this bench press variety is a popular accessory movement for building the traditional bench press in powerlifting training.",Fuerza,Intermedio,Pecho,"['Banco', 'Barra', 'Bandas']",['Casa'],5.0,0.567,,
hm-banded-cross-over-pull,HM Banded Cross-Over Pull,,Fuerza,Intermedio,Pecho,['Bandas'],['Casa'],5.0,0.467,,
rusin-band-pull-apart,Rusin Band Pull-Apart,,Fuerza,Intermedio,Pecho,['Bandas'],['Casa'],5.0,0.467,,
uns-banded-push-up,UNS Banded Push-Up,,Fuerza,Intermedio,Pecho,['Bandas'],['Casa'],5.0,0.467,,
taylor-band-assisted-one-arm-push-up,Taylor Band-Assisted One-Arm Push-Up,,Fuerza,Intermedio,Pecho,['Bandas'],['Casa'],5.0,0.467,,
incline-band-bench-press,Incline band bench press,"The incline band bench press is variation of the incline press, a popular upper-body exercise targeting the upper pectoral muscles. While it can be a strength-focused movement, it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.",Fuerza,Intermedio,Pecho,"['Banco', 'Barra', 'Bandas']",['Casa'],5.0,0.567,,
band-push-up,Band push-up,"The band push-up is a progression of the popular bodyweight version of the exercise commonly used in military and tactical physical fitness tests. Adding the dynamic resistance of the band matches the strength curve of the push-up and helps build upper-body muscle and strength, emphasizing the chest, triceps, and shoulders, but also working the upper back and core.",Fuerza,Intermedio,Pecho,['Bandas'],['Casa'],5.0,0.467,,
band-chest-fly,Band chest fly,"Similar to the cable chest fly, the band chest fly is a single-joint movement that works the pectoral muscles. The fly is common in upper-body and chest-focused muscle-building workouts, and the band variation works well as a pre-exhaust at the beginning of a workout or a finishing movement at the end. It is often used in combination with other presses or flyes to target the chest from different angles.",Fuerza,Intermedio,Pecho,"['Poleas', 'Bandas']",['Gimnasio'],5.0,0.517,,
close-grip-bench-press,Close-grip bench press,"The close-grip bench press is a popular exercise targeting the triceps and chest. The main difference between this exercise and the standard bench press is that the hands and elbows are placed closer together, which places more of an emphasis on the triceps. The close-grip bench press is often used as an accessory movement for the traditional bench press, or as a triceps builder for arm training. Similar to the bench press, it can be trained in low reps for strength or higher reps for muscle or strength endurance.",Fuerza,Intermedio,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,9.1,Average
barbell-bench-press-medium-grip,Barbell Bench Press - Medium Grip,"The bench press is a compound exercise that builds strength and muscle in the chest and triceps. When many people think of listing, the bench press is often the first exercise that comes to mind",Fuerza,Intermedio,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,9.0,Average
decline-barbell-bench-press,Decline barbell bench press,"The decline barbell bench press is a popular upper-body exercise targeting the lower pectoral muscles. While it can be a strength-focused movement, it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.",Fuerza,Intermedio,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,8.9,Average
wide-grip-bench-press,Wide-grip bench press,"The wide-grip bench press is a compound exercise targeting the chest and, to a lesser extent, the triceps. The main difference between this exercise and the standard bench press is that the hands are placed farther apart on the bar. Many lifters find they can handle more weight going wide than with narrower grips, although it's also worth noting that plenty of banged-up lifters have said benching with a wide grip may also have contributed to their shoulder injuries and pain. The wide-grip bench is often used as a chest-building movement in chest or upper-body workouts, or as an accessory movement for the traditional bench press.",Fuerza,Principiante,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,8.9,Average
wide-grip-decline-barbell-bench-press,Wide-Grip Decline Barbell Bench Press,,Fuerza,Principiante,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,8.9,Average
barbell-incline-bench-press-medium-grip,Barbell Incline Bench Press Medium-Grip,The incline bench press is an upper body compound movement that targets the upper chest.,Fuerza,Intermedio,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,8.8,Average
neck-press,Neck Press,,Fuerza,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,8.8,Average
front-raise-and-pullover,Front Raise And Pullover,,Fuerza,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,8.3,Average
board-bench-press,Board bench press,"The board bench press is an upper-body exercise that is commonly performed as an assistance movement for the bench press. It targets the same muscles as the bench press, including the chest and shoulders, but really focuses on the triceps. Because you can load it more heavily than a full bench press, it allows you to overload the triceps and lock out of the bench press.",Powerlifting,Intermedio,Pecho,"['Banco', 'Barra']",['Casa'],4.0,0.433,7.7,Average
barbell-bench-press-wide-grip,Barbell Bench Press-Wide Grip,"The wide-grip bench pressis a compound exercise targeting the chest, primarily. The main difference between this exercise and the standard bench press is that the hands are placed wider apart on the bar.",Fuerza,Principiante,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,7.6,Average
wide-grip-decline-barbell-pullover,Wide-Grip Decline Barbell Pullover,,Fuerza,Principiante,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,7.3,Average
barbell-guillotine-bench-press,Barbell Guillotine Bench Press,,Fuerza,Principiante,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,6.7,Average
band-suspended-kettlebell-bench-press,Band-suspended kettlebell bench press,"The band-suspended kettlebell bench press is a bench press variation where kettlebells or weight plates are hung from the ends of a barbell by looped bands. The suspended weights can be in addition to normally loaded weight plates, or in the place of them. Because the instability of the weights makes the lift difficult, this bench press variety is a popular accessory movement for building the traditional bench press in powerlifting training.",Fuerza,Intermedio,Pecho,"['Banco', 'Barra', 'Bandas']",['Casa'],5.0,0.567,,
paul-carter-incline-bench-press,Paul Carter Incline Bench Press,The incline bench press is an upper body compound movement that targets the upper chest.,Fuerza,Intermedio,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,,
incline-bench-press,Incline bench press,"The incline bench press is a popular barbell exercise targeting the chest muscles, particularly the upper pectoral muscles. While it can be a strength-focused movement, it is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or chest-focused training.",Fuerza,Intermedio,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,,
bench-press,Bench press,"The bench press is a popular barbell exercise that builds strength and muscle in the chest, triceps, and shoulders. It is a popular way to measure overall upper-body strength, and is contested in the sport of powerlifting. When many people think of lifting, the bench press is often the first exercise that comes to mind. It can be performed for low reps for strength, higher reps for muscle, or for higher reps to build or measure strength endurance, like in the 225-pound bench press rep test in the NFL combine.",Fuerza,Intermedio,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,,
tbs-close-grip-bench-press,TBS Close-Grip Bench Press,The close-grip bench pressis a compound exercise targeting the triceps and chest. The main difference between this exercise and the standard bench press is that the hands and elbows are placed closer together.,Fuerza,Intermedio,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,,
am-flat-bench-barbell-press,AM Flat Bench Barbell Press,"The bench press is a compound exercise that builds strength and muscle in the chest and triceps. When many people think of listing, the bench press is often the first exercise that comes to mind",Fuerza,Intermedio,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,,
up-bench-press,UP Bench Press,"The bench press is a compound exercise that builds strength and muscle in the chest and triceps. When many people think of listing, the bench press is often the first exercise that comes to mind",Fuerza,Intermedio,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,,
up-close-grip-bench-press,UP Close-Grip Bench Press,The close-grip bench pressis a compound exercise targeting the triceps and chest. The main difference between this exercise and the standard bench press is that the hands and elbows are placed closer together.,Fuerza,Intermedio,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,,
king-maker-barbell-bench-press,King Maker Barbell Bench Press,"The bench press is a compound exercise that builds strength and muscle in the chest and triceps. When many people think of listing, the bench press is often the first exercise that comes to mind",Fuerza,Intermedio,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,,
king-maker-incline-barbell-bench-press,King Maker Incline Barbell Bench Press,The incline bench press is an upper body compound movement that targets the upper chest.,Fuerza,Intermedio,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,,
30-chest-incline-barbell-bench-press,30 Chest Incline Barbell Bench Press,,Fuerza,Intermedio,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,,
30-chest-barbell-bench-press,30 Chest Barbell Bench Press,,Fuerza,Intermedio,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,,
30-chest-30-degree-incline-dumbbell-press,30 Chest 30-Degree Incline Dumbbell Press,,Fuerza,Intermedio,Pecho,"['Banco', 'Mancuernas']",['Casa'],5.0,0.517,,
spoto-press,Spoto press,"The Spoto press is a variation of the popular barbell exercise the bench press that builds strength and muscle in the chest, triceps, and shoulders. It differs from the bench press in that the lifter pauses for a few seconds at the bottom of the movement before pressing the bar back up. This pause removes all momentum and increases the time under tension for the chest and shoulder muscles to help develop upper-body musculature and strength.",Fuerza,Intermedio,Pecho,"['Banco', 'Barra']",['Casa'],5.0,0.517,,
kettlebell-plyo-push-up,Kettlebell plyo push-up,"The kettlebell plyo push-up is an explosive upper-body movement that uses a kettlebell primarily as a platform for the hands. A short step, dumbbell, or other stationary object could also be used in place of the kettlebell. It can be performed for reps or time, either for low reps to build explosive power or for higher reps for conditioning.",Fuerza,Intermedio,Pecho,['Mancuernas'],['Casa'],5.0,0.467,8.0,Average
extended-range-one-arm-kettlebell-floor-press,Extended Range One-Arm Kettlebell Floor Press,,Fuerza,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,6.3,Average
kettlebell-alternating-floor-press,Kettlebell alternating floor press,"The kettlebell alternating floor press limits the range of motion you would achieve with a dumbbell or kettlebell bench press, but still targets the chest, triceps, and anterior delts. This allows you to build strength in the top portion of the lift, overload the triceps, and work on strengthening the shoulder stabilizers.",Fuerza,Principiante,Pecho,"['Banco', 'Barra', 'Mancuernas']",['Casa'],5.0,0.567,6.0,Average
one-arm-kettlebell-floor-press,One-Arm Kettlebell Floor Press,,Fuerza,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,0.0,
leg-over-floor-press,Leg-Over Floor Press,,Fuerza,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,0.0,
band-suspended-kettlebell-bench-press,Band-suspended kettlebell bench press,"The band-suspended kettlebell bench press is a bench press variation where kettlebells or weight plates are hung from the ends of a barbell by looped bands. The suspended weights can be in addition to normally loaded weight plates, or in the place of them. Because the instability of the weights makes the lift difficult, this bench press variety is a popular accessory movement for building the traditional bench press in powerlifting training.",Fuerza,Intermedio,Pecho,"['Banco', 'Barra', 'Bandas']",['Casa'],5.0,0.567,,
fyr2-push-up-to-kettlebell-hike-combo,FYR2 Push-Up to Kettlebell Hike Combo,,Fuerza,Intermedio,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
pushups,Pushups,"The push-up is a popular bodyweight exercise that is commonly used in military and tactical physical fitness tests. It’s a classic movement to build upper-body muscle and strength, emphasizing the chest, triceps, and shoulders, but also working the upper back and core.",Fuerza,Intermedio,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,9.2,Average
incline-push-up,Incline Push-Up,"The hands-elevated push-up is a variation on the push-up, a body-weight standard. The hands are elevated, so that your body is aligned at an angle to the floor rather than parallel.",Fuerza,Intermedio,Pecho,['Banco'],['Casa'],5.0,0.467,8.8,Average
hands-elevated-push-up,Hands-elevated push-up,"The hands-elevated push-up is a variation on the classic push-up where the hands are placed on a bench or other elevated surface. Having the hands higher than the feet makes it easier than push-ups on the floor, but also puts the emphasis more on the triceps. It can be used as a substitute for floor push-ups or as a mechanical dropset after maxing out on floor push-ups.",Fuerza,Principiante,Pecho,['Banco'],['Casa'],5.0,0.467,8.7,Average
decline-push-up,Decline Push-Up,"The feet-elevated push-up is a variation on the push-up, a body-weight standard. The feet are elevated, so that your body is aligned at an angle to the floor rather than parallel.",Fuerza,Intermedio,Pecho,['Banco'],['Casa'],5.0,0.467,8.6,Average
single-arm-push-up,Single-Arm Push-Up,,Fuerza,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,8.6,Average
close-push-up-to-wide-push-up,Close push-up to wide push-up,"The close push-up to wide push-up combines two variations of a push-up to emphasize the strengthening of different muscles. The close push-up emphasizes the triceps, while the wide push-up emphasizes the chest and shoulders.",Fuerza,Intermedio,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,8.5,Average
wide-grip-hands-elevated-push-up,Wide-grip hands-elevated push-up,"The wide-grip hands-elevated push-up is a variation on the elevated push-up performed with the hands farther apart than with a standard push-up. Having the hands higher than the feet makes it easier than wide-grip push-ups on the floor, but the extra width also puts more emphasis on the chest muscles. It can be used as a substitute for wide-grip floor push-ups, or as a mechanical dropset after maxing out on floor push-ups.",Fuerza,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,8.5,Average
push-ups-with-feet-on-an-exercise-ball,Push-Ups With Feet On An Exercise Ball,,Fuerza,Intermedio,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,8.5,Average
feet-elevated-push-up,Feet-elevated push-up,"The feet-elevated push-up is a variation on the push-up, a bodyweight standard. The feet are elevated so that your body is aligned at an angle to the floor rather than parallel. This makes it more difficult than push-ups on the floor, but also puts more emphasis on the shoulder muscles. It is often used as a bodyweight substitute for incline presses, or as a burnout movement for a chest or shoulder workout.",Fuerza,Intermedio,Pecho,['Banco'],['Casa'],5.0,0.467,8.5,Average
isometric-wipers,Isometric Wipers,The typewriter push-up is an advanced push-up variation where the hands are extra wide and you lower toward each hand in alternating reps. It is more challenging to each working arm than traditional push-ups and also stretches and challenges the chest.,Fuerza,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,8.4,Average
clock-push-up,Clock push-up,"The clock push-up is a series of regular push-ups performed one at a time, moving your hands one step to the side between each one until you've completed a full circle. It targets the same muscles as traditional push-ups, such as the chest, triceps, and shoulders, but adds an endurance and core challenge to traditional push-ups.",Fuerza,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,8.4,Average
incline-push-up-depth-jump,Incline Push-Up Depth Jump,,Plyometrics,Intermedio,Pecho,['Banco'],['Casa'],4.0,0.383,8.3,Average
push-up-wide,Push-Up Wide,"The wide push-up is a variation of the push-up with the hands wider than shoulder-width apart. It targets upper-body muscle groups including the chest, shoulders, and triceps, but has more of a chest emphasis than narrower-grip push-up variations. If wide push-ups lead to pain in the front of your shoulder, opt for a narrower version.",Fuerza,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,8.3,Average
sphinx-push-up,Sphinx push-up,"The sphinx push-up is a difficult variation of the push-up that ends with the forearms on the ground in front of the body, rather than with the chest on the ground. It puts more stress on the triceps than traditional push-ups. It can be performed for time or reps in any bodyweight workout or during any arms-focused portion of a workout.",Fuerza,Intermedio,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,8.0,Average
close-hands-push-up,Close-Hands Push-Up,"The close push-up is an upper-body exercise that targets the chest, triceps, and shoulders. The close hand position places more emphasis on the triceps.",Fuerza,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,7.8,Average
tiger-bend-push-up,Tiger-bend push-up,The tiger-bend push-up is an advanced push-up variation where you shift onto your forearms at the bottom position and then back onto your hands and up again. It targets the triceps far more than regular push-ups.,Fuerza,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,7.6,Average
plyo-push-up,Plyo push-up,"The plyo push-up is a bodyweight exercise aimed at increasing upper-body power and strength. It targets the muscles of the chest, triceps, and shoulders, and can be trained in low reps for power and strength, or higher reps for conditioning.",Plyometrics,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",4.0,0.383,7.5,Average
close-grip-hands-elevated-push-up,Close-grip hands-elevated push-up,"The close-grip hands-elevated push-up is a variation on the classic push-up where the hands are placed on a bench or other elevated surface. Having the hands higher than the feet makes it easier than close-grip push-ups on the floor, but also puts the emphasis more on the triceps. It can be used as a substitute for floor push-ups or close-grip push-ups, or as a mechanical dropset after maxing out on floor push-ups.",Fuerza,Intermedio,Pecho,['Banco'],['Casa'],5.0,0.467,7.4,Average
suspended-push-up,Suspended push-up,"The suspended push-up is a bodyweight pushing exercise performed on a suspension strap system or gymnastic rings. It targets the chest, shoulders, and triceps, but is also challenging to the core and upper back. It can work in traditional strength and muscle-building rep ranges or for higher reps.",Fuerza,Intermedio,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,7.3,Average
push-up-to-side-plank,Push Up to Side Plank,"The push-up to side plank is an upper-body and core-focused exercise combining two popular bodyweight movements. It targets the chest, triceps, and shoulders with the push-up, and the obliques and hip external rotator muscles with the side plank. It can be performed as part of a dynamic warm-up or any bodyweight strength-training workout.",Fuerza,Intermedio,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,7.1,Average
isometric-chest-squeezes,Isometric Chest Squeezes,,Plyometrics,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",4.0,0.383,7.1,Average
side-to-side-push-up,Side-to-side push-up,The side-to-side push-up is a variation of the push-up exercise where you side-step the opposite hand and foot and perform a push-up.,Fuerza,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,6.7,Average
typewriter-push-up,Typewriter push-up,The typewriter push-up is an advanced push-up variation where the hands are extra wide and you lower toward each hand in alternating reps. It is more challenging to each working arm than traditional push-ups and also stretches and challenges the chest.,Fuerza,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,0.0,
diamond-push-up,Diamond push-up,"The diamond push-up is an advanced variation of the push-up exercise performed with the hands in a diamond shape. It increases the challenge to the triceps, but also targets the chest and shoulders.",Fuerza,Intermedio,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,0.0,
judo-push-up,Judo push-up,"The judo push-up is an advanced push-up variation that blends elements of the yoga poses downward- and upward-facing dog. This movement increases the demands on the shoulders, but also has mobility benefits. It can work in a dynamic warm-up or mobility-focused workout, but also in bodyweight strength training.",Fuerza,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,0.0,
superman-push-up,Superman Push-Up,,Plyometrics,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",4.0,0.383,0.0,
wide-push-up,Wide push-up,"The wide push-up is a variation of the push-up with the hands wider than shoulder-width apart. It targets upper-body muscle groups including the chest, shoulders, and triceps, but has more of a chest emphasis than narrower-grip push-up variations. If wide push-ups lead to pain in the front of your shoulder, opt for a narrower version.",Fuerza,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,0.0,
one-arm-push-up,One-Arm Push-Up,,Fuerza,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,0.0,
clapping-push-up,Clapping Push-Up,"Also known as a plyo push-up, the clapping push-up is a bodyweight exercise aimed at increasing upper-body power and strength. It targets the muscles of the chest, triceps, and shoulders, and can be trained in low reps for power and strength, or higher reps for conditioning.",Plyometrics,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",4.0,0.383,0.0,
staggered-push-up,Staggered push-up,"The staggered push-up is a variation of the push-up exercise where your hand position is staggered, with one hand forward and one back. It targets the same muscles as a traditional push-up, including the chest, triceps, and shoulders, but is more difficult to the rear arm and core.",Fuerza,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,0.0,Average
reverse-grip-hands-elevated-push-up,Reverse-grip hands-elevated push-up,"The reverse-grip hands-elevated push-up is a bodyweight exercise performed on a Smith machine or other elevated surface. It targets the chest, triceps, and shoulders. It can work as a regression of floor reverse-grip push-ups, or in a progressive mechanical dropset moving the bar up once you reach failure at a lower height.",Fuerza,Principiante,Pecho,['Máquina'],['Gimnasio'],5.0,0.467,0.0,Average
triple-clap-push-up,Triple Clap Push-Up,,Plyometrics,Principiante,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",4.0,0.383,0.0,
side-kick-through-push-up,Side kick-through push-up,"The side kick-through push-up is a full-body movement that begins in a bear crawl position and ends with a leg kicked out to the side, with a push-up performed between kick-throughs. It is commonly performed for reps or timed bodyweight circuits and animal-style flows, but can also work on its own or as part of a dynamic warm-up or mobility sequence.",Fuerza,Intermedio,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",5.0,0.467,,
swimming,Swimming,,Cardio,Intermedio,Pecho,['Peso corporal'],"['Casa', 'Aire libre']",8.0,0.717,,
